origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
JFK,2023,1,1,0,None,None,None,0.0,0.0,0.0,None,None,0.25,1672560000.0
JFK,2023,1,1,1,None,None,None,190.0,4.60312,5.297178433599999,None,None,2.5,1672563600.0
JFK,2023,1,1,2,None,None,None,190.0,5.7539,6.621473041999999,None,None,0.25,1672567200.0
JFK,2023,1,1,3,None,None,None,250.0,5.7539,6.621473041999999,0.02,None,4.0,1672570800.0
JFK,2023,1,1,4,None,None,None,170.0,8.05546,9.2700622588,None,None,0.75,1672574400.0
JFK,2023,1,1,5,None,None,None,0.0,0.0,0.0,None,None,0.75,1672578000.0
JFK,2023,1,1,6,None,None,None,250.0,9.20624,10.594356867199998,None,None,0.24,1672581600.0
JFK,2023,1,1,7,None,None,None,230.0,9.20624,10.594356867199998,None,None,0.5,1672585200.0
JFK,2023,1,1,8,None,None,None,260.0,11.5078,13.242946083999998,None,None,8.0,1672588800.0
JFK,2023,1,1,9,None,None,None,250.0,12.658579999999999,14.567240692399997,None,None,5.0,1672592400.0
JFK,2023,1,1,10,None,None,None,240.0,9.20624,10.594356867199998,None,None,4.0,1672596000.0
JFK,2023,1,1,11,None,None,None,260.0,11.5078,13.242946083999998,None,None,6.0,1672599600.0
JFK,2023,1,1,12,None,None,None,260.0,9.20624,10.594356867199998,None,None,8.0,1672603200.0
JFK,2023,1,1,13,None,None,None,240.0,12.658579999999999,14.567240692399997,None,None,10.0,1672606800.0
JFK,2023,1,1,14,None,None,None,230.0,8.05546,9.2700622588,None,None,10.0,1672610400.0
JFK,2023,1,1,15,None,None,None,280.0,12.658579999999999,14.567240692399997,None,None,10.0,1672614000.0
JFK,2023,1,1,16,None,None,None,280.0,14.960139999999999,17.215829909199996,None,None,10.0,1672617600.0
JFK,2023,1,1,17,None,None,None,300.0,10.357019999999999,11.918651475599997,None,None,10.0,1672621200.0
JFK,2023,1,1,18,None,None,None,280.0,14.960139999999999,17.215829909199996,None,None,10.0,1672624800.0
JFK,2023,1,1,19,None,None,None,290.0,10.357019999999999,11.918651475599997,None,None,10.0,1672628400.0
JFK,2023,1,1,20,None,None,None,280.0,12.658579999999999,14.567240692399997,None,None,10.0,1672632000.0
JFK,2023,1,1,21,None,None,None,270.0,8.05546,9.2700622588,None,None,10.0,1672635600.0
JFK,2023,1,1,22,None,None,None,310.0,5.7539,6.621473041999999,None,None,10.0,1672639200.0
JFK,2023,1,1,23,None,None,None,0.0,0.0,0.0,None,None,10.0,1672642800.0
JFK,2023,1,2,0,None,None,None,260.0,10.357019999999999,11.918651475599997,None,None,10.0,1672646400.0
JFK,2023,1,2,1,None,None,None,230.0,9.20624,10.594356867199998,None,None,10.0,1672650000.0
JFK,2023,1,2,2,None,None,None,240.0,11.5078,13.242946083999998,None,None,10.0,1672653600.0
JFK,2023,1,2,3,None,None,None,260.0,5.7539,6.621473041999999,None,None,10.0,1672657200.0
JFK,2023,1,2,4,None,None,None,240.0,5.7539,6.621473041999999,None,None,10.0,1672660800.0
JFK,2023,1,2,5,None,None,None,240.0,5.7539,6.621473041999999,None,None,10.0,1672664400.0
JFK,2023,1,2,6,None,None,None,230.0,5.7539,6.621473041999999,None,None,10.0,1672668000.0
JFK,2023,1,2,7,None,None,None,230.0,5.7539,6.621473041999999,None,None,10.0,1672671600.0
JFK,2023,1,2,8,None,None,None,240.0,8.05546,9.2700622588,None,None,10.0,1672675200.0
JFK,2023,1,2,9,None,None,None,230.0,4.60312,5.297178433599999,None,None,10.0,1672678800.0
JFK,2023,1,2,10,None,None,None,240.0,4.60312,5.297178433599999,None,None,10.0,1672682400.0
JFK,2023,1,2,11,None,None,None,210.0,5.7539,6.621473041999999,None,None,10.0,1672686000.0
JFK,2023,1,2,12,None,None,None,250.0,10.357019999999999,11.918651475599997,None,None,10.0,1672689600.0
JFK,2023,1,2,13,None,None,None,260.0,10.357019999999999,11.918651475599997,None,None,10.0,1672693200.0
JFK,2023,1,2,14,None,None,None,250.0,9.20624,10.594356867199998,None,None,10.0,1672696800.0
JFK,2023,1,2,15,None,None,None,240.0,9.20624,10.594356867199998,None,None,10.0,1672700400.0
JFK,2023,1,2,16,None,None,None,260.0,5.7539,6.621473041999999,None,None,10.0,1672704000.0
JFK,2023,1,2,17,None,None,None,240.0,4.60312,5.297178433599999,None,None,10.0,1672707600.0
JFK,2023,1,2,18,None,None,None,190.0,4.60312,5.297178433599999,None,None,10.0,1672711200.0
JFK,2023,1,2,19,None,None,None,180.0,9.20624,10.594356867199998,None,None,10.0,1672714800.0
JFK,2023,1,2,20,None,None,None,190.0,5.7539,6.621473041999999,None,None,10.0,1672718400.0
JFK,2023,1,2,21,None,None,None,190.0,11.5078,13.242946083999998,None,None,10.0,1672722000.0
JFK,2023,1,2,22,None,None,None,180.0,5.7539,6.621473041999999,None,None,10.0,1672725600.0
